Course_Identification,Title_Long_Description,Course_Description
NURSB303,Health & Wellness Innovation: Creative Inquiry,{?PUBH B303} (Prerequisite: NURS B350) The purpose of this course is to introduce and encourage health professional-driven innovation. This course equips students with an empathetic mindset to see healthcare and public health issues from the perspective of the person who is experiencing the challenge. Students will develop new and creative ways to improve health and well-being. 
NURSB305,"Spirituality, Health, and Health Professions","Exploration of spirituality, its effect on health, and health professionals roles in the spiritual care of clients."
NURSB310,Pathophysiology,"(Prerequisite: Acceptance to the Pre-licensure or RN to BSN Program or consent of Instructor) Building on prior science courses, this course advances knowledge of pathophysiology by analyzing the molecular, cellular and organ system changes that occur with common diseases, noting their impact on total body function and homeostasis. Focus is on the mechanisms of underlying diseases needed to deliver preventive and therapeutic health care interventions. "
NURSB312,Assessment and Physical Examination of Individuals,"(Prerequisite: Acceptance to the Pre-licensure program, RN licensure or consent of instructor).  Students will conduct a systematic patient examination to determine the health, health risk, and health alterations from the disease conditions. The focus is on adults with normal physiologic variation and extends to include age, gender, and socio-cultural variants. Using assessment findings students will derive clinical problem statements, determine risk reduction strategies, and align assessment findings with laboratory and other diagnostic results to create a comprehensive health profile."
NURSB320,Clinical Pharmacology,(Prerequisite: NURS B310 or consent of instructor) This course provides an overview of the chemical therapeutic measures which assist patients in reducing the physical and emotional effects of illness and in improving or promoting health. Focus is on the mechanism of action of these interventions as they affect underlying physiological and pathophysiological processes (Lecture 3 hours).
NURSB325,Nursing Informatics and Technology in Healthcare,"(Prerequisite: NURS B202 or B301) This course introduces nursing informatics and patient care technologies utilized in healthcare settings. Students explore informatics and technology from identification, retrieval, processing, evaluation, and management of healthcare technology and information systems intended to improve patient outcomes and reduce risk of harm. Legal and ethical considerations related to these technologies are examined. Emphasis is placed on selected technologies and evaluating how they impact nursing practice and influence quality and safety across the continuum of care. Basic computer literacy is a pre-requisite to support success."
NURSB326,Adult Health Nursing I,"(Prerequisite: NURS B202, B310 and B312; Co-req. NURS B320). This course includes information on common chronic and acute illnesses including pre- and post-operative preparation. A nursing process approach outlines nursing actions for major common illnesses in the hospital setting.  Intermediate nursing skills are taught in the laboratory and applied in the clinical area. Students learn how to provide appropriate nursing care to patients with common health problems and patients requiring surgery (Lecture 3 hours, Laboratory 3 hours, Clinical Experience 6 hours)."
NURSB326C,Clinical Care of Adults with Acute and Chronic Conditions,"(Prerequisite: NURS B202, B202C, B312; Corequisite: NURS B320 & B326) Students will be exposed to adults and older adults with acute and chronic conditions. Clinical experiences will focus on the application of knowledge and skills related to the care of an adult patient. Emphasis will be placed on applying the nursing process to manage care, setting clinical priorities and using technology to anticipate patient needs as a member of interprofessional teams."
NURSB330,Transcultural Health,"(Prerequisite: PSYC B101 or SOCY B101 or consent of Instructor) This course surveys the cultural and social dimensions of health and illness with emphasis on the development of cultural competence.  Different populations are examined for the development of a personal understanding of the traditions and customs of their societies, providing a unique perspective on the implications for patient care. (Lecture 3 hours) (Satisfies USCB General Education Global Citizenship and Multicultural Understanding Requirement)."
NURSB341,Performance of Caring,"{?THEA B341} (Prerequisite: SOCY B101 or PSYC B101) The class aims to train students to act as Simulated Participants (SP) in the Nursing Simulation lab as patients and supporting roles (such as patient family members) in dynamic, realistic simulated healthcare experiences. These experiences help train future nurses in a lifelike way.  "
NURSB350,Nursing Research,"(Prerequisite: STAT B201 and NURS B202 or RN Licensure or consent of Instructor).  Nursing research introduces the basic research process, including methods commonly used in nursing. Content includes ethical issues, evaluation of research for evidenced based practice and the nurse researcher role (Lecture 3 hours)."
NURSB356,Women's Health Nursing,"(Prerequisite: NURS B320 and NURS B326; Co-requisite: NURS B358).  Content includes nursing care of women related to all aspects of reproductive health. Cultural differences are discussed. Coaching strategies and research outcomes for this population are described.  Students will develop safe practice of basic obstetrical and gynecological nursing skills first in a laboratory setting and then apply these skills in a clinical setting (Lecture 3 hours, Laboratory 1 hour, Clinical Experience 5 hours)."
NURSB357,Nursing Concepts in Adult Health,(Prerequisite: Junior Standing) This class will help bridge an identified learning gap between NURS B326 and NURS B425.  The class will reinforce knowledge and application in Adult Health Nursing using a concept-based approach. The content will focus on critical thinking and clinical judgement utilizing the nursing process.  
NURSB358,Children's Health Nursing,"(Prerequisite: NURS B320 and NURS B326; Co-requisite: NURS B356). Focus is on the nursing care of children and their families. Normal growth and development, pediatric assessment and common health issues including childhood communicable diseases and genetic abnormalities are presented. Students will develop safe practice of applying basic nursing skills first in a laboratory setting and then in pediatric inpatient and outpatient settings (Lecture 3 hours, Laboratory 1 hour, Clinical Experience 5 hours)."
NURSB360,Gerontological and Rehabilitation Nursing,"(Prerequisite: RN licensure, or NURS B312 and NURS B326, or permission of the instructor)  Care and special needs of the older adult in various care settings. Gerontological nursing, presentation of disease, rehabilitation, health promotion, reimbursement and a comprehensive nursing gerontological assessment are covered. (Lecture 3 hours)."
NURSB360C,Clinical Care of Childbearing Families,"(Prerequisite: NURS B320 & B326. Corequisite: NURS B356 & B358) In conjunction with NURS B358, this course blends practice/simulation laboratory experiences with clinical experiences in care settings where mothers, infants, children and family units receive care."
NURSB395,Global Healthcare Study Abroad,Provides students the opportunity to engage in global health fieldwork in an international service learning setting. Faculty collaborate with international partners to develop customized global healthcare immersion experiences.
NURSB399,Independent Study in Nursing,"This course is an advanced study of a particular theme or topic in the nursing through readings, research, and analysis. It is designed for students who have completed basic courses and who want to study specific topics that are not offered in the curriculum or extend learning of a topic from a course already completed (i.e., develop a poster or manuscript based on a scholarly paper).  A contract of study is developed through readings, projects, papers, and/or seminars approved by instructor.  Up to 3 credits may be contracted and repeated for a total of 6 credits."
NURSB401,Health Care Delivery Systems,"Systems theory; health care delivery systems conceptualizes transitions from one level of care to another with emphasis on ethical and legal issues; technology; historical, political and economic aspects to meet the health care needs of the population. (Lecture 3 hours)"
NURSB410,Professional Nursing Leadership and Management,"(Pre-requisites: Acceptance to RN-to-BSN program or NURS B326 and NURS B401 or permission of the instructor)   This course provides an introduction to evidence-based nursing leadership and management practice. The course includes theoretical underpinnings of nursing leadership and management, to prepare the student for the organizational and managerial skills needed for day to day management of staff nurses delivering health care to multiple patients as well as future positions of leadership.   "
NURSB412,Mental Health Nursing,"(Prerequisite: NURS B326, NURS B320, NURS B350, and NURS B401). Nursing care of individuals with mental health issues ranging from major psychiatric disorders to short situational stressors is taught with an emphasis on positive mental health. Students will develop safe practice of basic nursing skills first in a laboratory setting and then in community-based and in-patient mental health settings. (Lecture 2 hours, Laboratory 1 hour, Clinical Experience 5 hours)."
NURSB415,Gerontological and Rehabilitation Nursing,"(Prerequisite: NURS B301 or NURS B326 and NURSB 312; Pre or Co-requisite: NURS B350)  Care and special needs of the older adult in various care settings. Gerontological nursing, presentation of disease, rehabilitation, health promotion, reimbursement and a comprehensive nursing gerontological assessment are covered. (Lecture 3 hours)."
NURSB416,Inactive Fall 2015 - Community Health Nursing,"(Prerequisite: NURS B356 and NURS B358 for pre-licensure students and NURS B350 for all nursing students; Co-requisite or Prerequisite: NURS B401 for all nursing students). Evidence-based nursing with individuals across the lifespan, families and other diverse population groups. Levels of prevention are explored in relationship with epidemiological effects of environment and lifestyle on client health. Laboratory and clinical experience includes identification and application of community resources using a case management approach to provide care in community health centers, acute care centers, shelters, home health and hospice agencies (Lecture 3 hours, Laboratory 1 hour, Clinical Experience 8 hours)."
NURSB418,Community Health Nursing,"(Prerequisites:  NURS B356, NURS B358, and NURS 360 for pre-licensure students; NURS B350 for all nursing students; Co-requisite or Prerequisite:  NURS B401 for all nursing students) Evidence-based nursing with individuals across the lifespan, families, and across population groups.  Levels of prevention are explored in relationship with epidemiological effects of environment and lifestyle on client health. Laboratory and clinical experience include identification and application of community resources using a case management approach to provide care in community health centers, acute care centers, shelters, home health,  hospice agencies, and other community organizations. (Lecture 3 hours, Laboratory 1 hour, Clinical experience 5 hours per week.)"
NURSB420,Trends and Issues in Nursing,"(Prerequisite: NURS B356 and NURS B358 for pre-licensure students) Historical and present trends in nursing practice are taught in this course with a perspective on nursing education, genetic research, evidenced-based practice and complementary therapies (Lecture 3 hours)."
NURSB422C,Clinical Care in Public and Community Health Settings,"(Prerequisite: NURS B320, B326, B350 and B401. Corequisite: NURS B412 and B418) In conjunction with NURS B412 and NURS B418, this clinical course focuses on experiential learning in community-based or public health settings. These settings serve primary and prevention care needs of school age, mental health, addictions, or other populations. A change management project that involves priority setting, delegation, policy making, budgeting, and/or measurement of community impact is introduced. Clinical experience may also include providing community-based education, care coordination, and managing resource capacity.  "
NURSB424,Professional Nursing Leadership and Management,"(Pre-requisites: NURS B416 and NURS B412 or acceptance into RN-to-BSN program; Co-requisites: NURS B426 and NURS B435 and NURS B424P or acceptance into RN-to-BSN program) This course provides an introduction to evidence-based nursing leadership and management practice.  The course includes theoretical underpinnings of nursing leadership and management followed by pragmatic, ""real life"" application of theory to practice."
NURSB424P,Professional Nursing Leadership and Management Practicum,"(Prerequisite: Pre-licensure Program, NURS B416 and NURS B420; Co-requisite: NURS B424 and NURS B435 for pre-licensure students) Principles of management and theories of leadership are implemented in an inpatient facility and/or community setting. Student projects will involve the application of a leadership or management strategy for problem identification and resolution in the clinical area (Laboratory 1 hour,Clinical Experience 8 hours)."
NURSB425,Adult Health Nursing II,"Through implementation of the nursing process, students focus on nursing interventions,  as well as applying leadership and management principles, to coordinate the complex care needs of the adult medical/surgical patient at the bedside and during transitions of care.  Students build on clinical practice from previous courses and apply safe practice of advanced nursing skills in preparation for professional practice.  (Class 3 hours, Laboratory 3 hours, Clinical practice 15 hours) (For the Pre-licensure Program: Prerequisite Courses NURS B410,  NURS B412, NURS B418;  Co-requisite: NURS B435)"
NURSB425C,Clinical Care of High Acuity Adults & Elders,"(Prerequisite: NURS B326, B326C, B412, B418 & B422C. Corequisite: NURS B425) Students will have exposure to adults and elders with high acuity needs. Clinical experiences will focus on the application of knowledge and skills related to the care of a high acuity adult or elder. Emphasis will be placed on application of the nursing process to manage care and reduce risks in this population, utilization of technology to monitor rapidly changing patient needs, plan and prioritize care, anticipate patient needs and contribute to interprofessional teams collaborating care for the high acuity adult or elder."
NURSB426,Adult Health Nursing II,"(For the Pre-licensure Program: Prerequisite Courses NURS B412, NURS B415 and NURS B416; Co-requisite: NURS B424 and NURS B435).  Through implementation of the nursing process, students focus on nursing interventions for the care of adult clients experiencing critical, multi-system alterations in function.  Students will build on clinical practice from previous courses and apply safe practice of advanced nursing skills in an intensive clinical setting (Lecture 3 hours, Clinical experience 9 hours)."
NURSB430C,Clinical Synthesis and Seminar,"(Prerequisite: NURS B412, B418 and B422C) In this clinical course, students will have an opportunity to model program outcomes and strengthen their abilities to manage a client population throughout a shift, focusing on organizational, delegation, and time management skills. Priority setting and the ability to develop focus in delivering care to more than one client are emphasized. In the seminar setting, synthesis of clinical information linked to individuals, families, and communities will be reviewed. Role understanding and clinical functioning will be evaluated to meet entry-level practice expectations. Knowledge of patient education, discharge planning, team functions, and nursing skills will be demonstrated. "
NURSB435,Professional Nursing Seminar,"(Prerequisite: NURS B415 and NURS B416; Co-requisite: NURS B424 and NURS B426 for pre-licensure students). This course prepares the pre-licensure student for transition to the role of professional nurse. An overview of career choices, readiness for NCLEX exam and continuing education and career advancement in the workplace is presented (Lecture 1 hour)."
NURSB441,Capstone: Professional Nursing Project,"(Prerequisite: All other RN-BSN nursing courses). The student will identify a project that synthesizes professional nursing curriculum theory and principal threads of Assessment, Critical thinking, Emotional Intelligence, Care Coordination and Cultural competence. The student will investigate a professional nursing issue, plan a project individualized to the student?s interests and develop a learning contract for a project is identified, planned and implemented that focuses on a professional nursing issue. The student will use curriculum threads of Assessment, Critical thinking, Emotional Intelligence, Care Coordination and Cultural competence to complete this clinical experience. (Seminar 2 hours, Clinical Experience 9 hours)."
NURSB450,"Ethical Decision-Making, Legal Issues and Health Policy in Professional Nursing","(Prerequisite: NURS B202 or B301) This course examines legal and ethical issues in healthcare and how they influence health policy. Students study legal principles governing profesional nursing practice and explore frameworks to support ethical decision-making across the continuum of care. The nurse's role in healthcare policy  development, implementation and analysis are explored, particularly as it relates to legal and ethical issues affecting practice. Students explore current legal/ethical issues and existing health policies, with an emphasis on how these issues impact access to, and delivery of healthcare services to vulnerable populations.  "
NURSB499,Special Topics in Professional Nursing Practice,"(Prerequisite: NURS B326 or B301 or consent of instructor) This course examines advanced concepts, emerging trends and issues, and evidenced-based practice changes in professional nursing practice. Variable hours between 1-3 credits, depending upon special topic. Topics may include complementary and alternative health practices, end-of-life and palliative care, working with special populations, and nursing theories.  "
PEDUB101,RAD Self-Defense for Women,"An introduction to the principles, techniques, and active practice of self-defense for women."
PEDUB104,Personal Fitness and Weight Control,Assessment of major fitness components and development of a personalized exercise program based on fundamental principles of exercise prescription.  Weight management and dietary guidelines will be addressed.
PEDUB105,Weight Training,An introduction to progressive resistance training and participation in a personalized strength training program with emphasis on proper technique and safety principles.
PEDUB106,Weight Training II,"This course expands on skills learned in PEDU B105 (Weight Training I) and is designed to further students? knowledge of weight training principles and techniques. Students create a personalized weight-training program designed to build muscular strength, endurance and power. Instruction includes musculoskeletal anatomy and weight training strategies."
PEDUB107,Aerobic Fitness,Participate in aerobic fitness activities designed to improve cardiovascular endurance.  Includes aerobic fitness assessment along with individualized and group aerobic fitness training.
PEDUB112,Basketball,"Fundamental skills of game performance. Strategy, rules, and basic offenses and defenses."
PEDUB113,Bowling,"An Introduction to the fundamentals of bowling, with an emphasis on basic techniques in all facets of the game, as well as an understanding of terminology."
PEDUB114,Golf,"Basic strokes, rules and strategy of golf."
PEDUB117,Karate,Karate
PEDUB119,Soccer,"Fundamental skills for game performance; history, rules, and game strategy."
PEDUB121,NULL,"Introduction to the game of tennis.  All aspects of the game for new players including technical, tactical, physical and mental skills will be developed.  The emphasis will be on helping students serve, rally and score and to build their knowledge and skill base."
PEDUB130,Intermediate Golf,(Prereq: PEDU 114 or consent of instructor) Intermediate strokes and strategies; heavier emphasis on the total golf swing.
PEDUB136,Yoga I,"Explore the mind-body connection through participation in yoga poses, transitional movements, and progressive relaxation techniques. Build strength, flexibility, muscle tone, and mindfulness while improving one's sense of well-being."
PEDUB137,Yoga II,"This course is a continuation of the Yoga I, focusing on the understanding and practice of intermediate to advanced yoga asanas (postures), pranayama (breathing) and meditation technique, including an introduction to the chakras."
PEDUB142,Lifeguard Training,"Students will develop proficiency in water safety skills. Successful completion of all course requirement leads to certification in American Red Cross Lifeguard Training, CPR, First Aid, and AED."
PEDUB147,Kayaking,"(Prerequisite: successful completion of deep water swim exam) Supervised calm water single kayak paddling.  Emphasis on safety, equipment selection, basic paddle and kayak-handling techniques, fitness considerations, travel safety, rescue and survival techniques."
PEDUB148,Stand Up Paddle Boarding,"A supervised calm water stand up paddling experience.  Emphasis on safety, equipment selection, paddle and board-handling techniques, fitness, travel safety, rescue and survival techniques.   "
PEDUB153,Heartsaver CPR/First Aid/AED,"The study and practice of early emergency care procedures, including first aid; choking relief in adults, children, and infants; and what to do for sudden cardiac arrest in adults, children, and infants."
PEDUB171,Line Dancing,"An enjoyable non-partner dance activity that exposes students to a variety of popular line dances, musical genres, line dance etiquette, and developmental history. Dance experience not necessary."
PEDUB181,Equestrian,English hunter-style riding for intermediate students.
PEDUB189,Indoor Cycling,An introduction to the basic findamentals of indoor cycling.
PEDUB202,Foundations of Coaching,"Explore coaching philosophies, coaching techniques, training fundamentals, risk management and group management strategies.  Emphasis placed on coaching skills necessary for working with children.  Includes practical experience and evaluation of coaching situations."
PHILB102,Introduction to Philosophy,"PHIL B102 - INTRODUCTION TO PHILOSOPHY (3). An introduction to the main problems of philosophy and its methods of inquiry, analysis and criticism. Works of important philosophers will be read."
PHILB110,Introduction to Formal Logic: Deduction & Inference,"This course is an introduction to deductive reasoning. The focus will be on the use of formal methods to construct and criticize actual arguments. Particular emphasis will be placed upon Aristotelian logic, sentential logic, and predicate logic. Student will develop skills in the development and analysis of syllogisms, Venn Diagrams, truth tables, and formal proofs."
PHILB111,Introduction to Informal Logic: Reasoning & Analysis,This course is an introduction to inductive reasoning. The focus will be on argumentation and argument analysis. Students will develop skills for: identifying argumentative language; determining the type of argument present; constructing argument maps; evaluating arguments in term of inductive standards; and identifying various informal fallacies.
PHILB201,History of Ancient Philosophy,An introduction to the development of philosophy in the ancient world through study of the works of representative philosophers. BPHI 202 may be taken prior to this course.
PHILB202,NULL,An introduction to the development of philosophic thought since the Renaissance through the study of the works of important philosophers. The chief emphasis is on the 17th and 18th centuries.
PHILB211,Contemporary Moral Issues,"Moral issues confronting men and women in contemporary society. Topics will vary but may include discussion of problems related to abortion, drugs, euthanasia, war, social engineering and punishment of criminals."
PHILB212,Conflicting Images of Man,"Conflicting images of man in contemporary philosophy, literature, psychology and religion and an evaluation of these images as norms for human conduct and social policy. Particular attention will be given to existentialist, Marxist, behaviorist and mystical images of man."
PHILB301,Nineteenth and 20th Century Philosophy,"An introduction to Continental and British philosophy since Kant through study of the works of representative philosophers. Particular emphasis is placed on the development of Idealism, Marxism, Existentialism and Phenomenology and analytic philosophy."
PHILB302,American Philosophy,"The principal movements of philosophical thought from Colonial times to the present, with special emphasis on the 19th and 20th centuries."
PHILB303,Critical Social Theories,"This course is an introduction to the critical social theories that have developed since the late 19th century. Critical social thought in philosophy focuses on various socio-historical conditions in contemporary society, as well as on the sociocultural methods that are used to study them. Possible frameworks may include Marxism, Neo-Marxism, feminist philosophies, queer theory, critical race theory, and post-analytic philosophy. Social and cultural topics may include race, gender, global economic dynamics, Internet culture, and social media. "
PHILB304,History of Analytic Philosophy,"This course is an introduction to analytic philosophy in the British and American philosophical traditions, emphasizing epistemology and the philosophy of language. Particular attention will be given to developments arising out of logical positivism and ordinary language philosophy.  "
PHILB311,Ethics,"A study of the moral principles of conduct and the basic concepts underlying these principles, such as good, evil, right, wrong, justice, value, duty and obligation. The ethical works of influential philosophers are analyzed in terms of these concepts."
PHILB312,Bioethics,The concepts of Person and Justice as they relate to biomedical sciences and technologies.
PHILB315,Philosophy of Technology,"This course will focus on the various philosophical questions and issues that arise from the technological opportunities and challenges of the 21st century. Philosophical topics surrounding technology will include those related to ethics, the philosophy of language, feminism, critical theory, and pragmatism. Possible topics regarding technology may include information technologies, robotics, AI, genetic engineering, cyborgs, climate change/geoengineering/the Anthropocene, and social media technologies. Finally, we investigate how technological developments stimulate philosophical thinking. "
PHILB320,Existentialism,"An introduction to existentialist themes in contemporary philosophy, literature, psychology and religion. The writings of existentialists such as Kierkegaard, Nietzsche, Camus, Sartre, Buber, May and Binswanger will be read and discussed."
PHILB341,Environmental Ethics,Examination of principles and arguments surrounding moral issues involving the environment.
PHILB363,Philosophy of Film,"{?LBST B363}  (Prerequisite: ENGL B101/B105 and ENGL B102/B106)  Interdisciplinary course with emphasis on topical study of film theory, the aesthetics of film as an art form, the social impact and relevance of film.  "
PHILB397,Readings in Philosophy,A systematic study of a primary source in philosophy having relevance to other disciplines.  Can be conducted as a small course or as a tutorial.  May be taken twice for credit.  (Prereq: junior standing and completion of General Education English and Humanities requirements.)
PHILB398,Topics in Philosophy,"(Prerequisite:  Specific prerequisites may vary; consult the instructor.) Intensive study of selected themes, topics, currents of thoughts or interdisciplinary concerns. May be repeated for credit under a different topic."
PHILB399,Independent Study in Philosophy,"Contract approval by instructor, advisor, Department Chair and Vice Chancellor for Academic Affairs is required."
PHYSB101,The Physics of How Things Work I,A practical introduction to physics and science in everyday life? from concrete examples to basic physical principles.
PHYSB101L,The Physics of How Things Work I Laboratory,"(Prereq or Coreq: PHYS B101) Experiments, exercises and demonstrations to accompany PHYS B101."
PHYSB102,The Physics of How Things Work,"(Prereq: PHYS B101) A continuation of PHYS B101 with emphasis on electricity, magnetism, optics and atomic physics."
PHYSB102L,The Physics of How Things Work II Laboratory,"(Prereq or Coreq: PHYS B102) Experiments, exercises and demonstrations to accompany PHYS B102."
PHYSB201,General Physics I,"(Prereq: MATH B115, or MATH B122, or equivalent) First part of an introductory course sequence. Topics include mechanics, wave motion, sound and heat. No previous background in physics is assumed."
PHYSB201L,General Physics I Laboratory,(Prereq or Coreq: PHYS B201 or B211)
PHYSB202,General Physics II,"(Prereq: a grade of C or better in BPHY 201) Continuation of BPHY 201; includes electromagnetism, relativity, quantum physics, atomic and nuclear physics."
PHYSB202L,General Physics II Laboratory,(Prereq or Coreq: PHYS B202).
PHYSB211,Essentials of Physics,(Prerequisite: a grade of C or better in MATH B141; Co-requisite: PHYS B211L) Classical mechanics and wave motion. Calculus-level course for students of science and engineering.
PHYSB211L,Essentials of Physics I Laboratory,(Prereq or Coreq: PHYS B211)
PHYSB212,Essentials of Physics II,(Prereq: a grade of C or better in PHYS B211 and MATH B142; Coreq: PHYS B212L) Classical electromagnetism and optics.
PHYSB212L,Essentials of Physics II Laboratory,(Prereq or Coreq: PHYS B212)
PHYSB398,Advanced Topics and Physics,"Study of a topic not otherwise available to student.  May involve reading assignments, tutorial, lectures, papers, presentations, or field or laboratory study, determined in consultation with instructor.  Repeatable to a maximum of 8 credit hours."
POLIB105,Introduction to Politics,"Concepts and problems involved in human relationship with governments, the nation-state and political change."
POLIB111,Contoversies in American Politics,"An introduction to the analysis of key issues in contemporary American politics focusing on the arguments, the groups involved and the political factors that influence the outcome of the debate."
POLIB201,American National Government,"The formation and development of the national government, its organization and powers."
POLIB315,Internatioanl Relations,International political behavior and institutions.
POLIB370,Introduction to Public Administration,"A study of the basic principles and theory of administrative structure, responsibility and control in relation to policy making in the modern state."
POLIB399A,Independent Study in Political Science,"Contract approval by instructor, advisor, Department Chair and Executive Vice Chancellor for Academic Affairs is required."
POLIB399B,Independent Study in International Studies,"Contract approval by instructor, advisor, Department Chair and Executive Vice Chancellor for Academic Affairs is required."
POLIB400,Selected Topics in Political Theory,Intensive analysis of a particular topic or topics. To be identified by suffix and title each semester.
PSYCB101,Introduction to Psychology,An introduction to and survey of the basic concepts and findings within the field of psychology.
PSYCB200,Research Methods in Psychology,Basic principles and methodology.
PSYCB201,Statistics Laboratory in Psychology,Psychological experiments which illustrate important concepts of elementary statistics. Two laboratory hours per week.
PSYCB202,Psychological Statistics,Introduction to statistical methods essential for psychological research.
PSYCB203,Laboratory in Psychology,(Prereq: PSYC B200 and STAT B201 and PSYC B201 or PSYC B200 and PSYC B227) Laboratory in psychology in which research methods and statistical methods are integrated. One lecture and one laboratory session per week.
PSYCB209,Human Growth and Development,"An introduction to and survey of physical, mental, social, and emotional developmental patterns evidenced from the prenatal period through senescence and death."
PSYCB210,Psychology of Adjustment,"Introduction to theories and processes underlying and facilitating human adjustment in the community, family and workplace."
PSYCB212,Applied Psychology,"Uses of psychological knowledge and techniques in practical contexts; clinical, school, industrial, consumer and environmental psychology."
PSYCB214,Human Sexual Behavior,"Psychological, physiological and sociological factors of human sexual behavior and attitudes."
PSYCB216,Psychology of Marriage,"The psychological, physiological and social characteristics of marriage."
PSYCB218,Psychology of Women,"Women's experiences: childhood and adolescence, work, family, cultural images, adjustment and social change."
PSYCB220,Psychology of Religion,"The development of the religious consciousness and its various expressions, the psychological dynamics of growth and conversion, response to crisis and the relation of spiritual practice to health and wholeness."
PSYCB224,Industrial/Organizational Psychology,"Psychological techniques applied to various industrial and organizational problem areas, such as management and supervision, morale, efficiency, training, personnel selection and placement and relations among personnel."
PSYCB229,Sport Psychology,"The role of sports in socialization, personality development and competence, including: spectator-performer interactions, motivation, competition effects; and the application of psychological techniques to performance enhancement."
PSYCB302,Learning and Memory,"(Prereq: PSYC B101) Research and applications concerning the acquisition of new behavior and knowledge, including accounts based on classical and instrumental conditioning and on information-processing models."
PSYCB303,Principles of Gerontology,"(?HMSV B303 & SOCY B303) An exploration of the interdisciplinary field of gerontology, including the fundamental concepts, theories, and issues involved in the study of aging from diverse perspectives."
PSYCB311,Abnormal Psychology,"(Prereq: PSYC B101) Covers the classification, diagnosis, etiological theories and treatments of the major mental and emotional disorders."
PSYCB312,Abnormal Behavior in Children,"(Prereq: PSYC B311 or consent of nstructor) Theories, description and assessment of child behavior problems and disorders; methods of intervention."
PSYCB321,Life Span Developmental Psychology,"(Prereq: PSYC B101) Psychological development from conception to late adulthood. Topics include physical, cognitive and social processes associated with development at each stage of the life cycle."
PSYCB322,Psychology of Child Development,(Prereq: PSYC B101) Examination of development from conception through older childhood. Specific cognitive and social processes will be given in-depth study.
PSYCB324,Psycholgoy of Adolescence,"(Prereq: PSYC B101) Theories and research examining social, emotional and intellectual development in adolescence. Explores influence of family, peer, school and cultural contexts."
PSYCB326,Psychology of Early and Middle Adulthood,"(Prereq: PSYC B101) Developmental changes in abilities, personality and behavior which occur between adolescence and old age."
PSYCB328,Psychology of Aging,"(Prereq: PSYC B101) Psychological, social and biological phenomena associated with maturity and aging."
PSYCB331,Social Psychology,"(Prereq: PSYC B101) Introduction to theory and research in social psychology from a psychological viewpoint. Topics include social perception, social cognition, attitudes, interpersonal relationships, aggression, prosocial behavior and group processes."
PSYCB341,Personality Theory,(Prereq: PSYC B101) Covers the major theories and research on personality and the dynamics of human motivation.
PSYCB361,Biological Psychology,(Prereq: PSYC B101) The neurochemical and neuroanatomical bases of behavior ranging from the reflex to schizophrenia.
PSYCB380,Cultural Psychology,"(Prerequisite: PSYC B101) A global cultural perspective on human behavior exploring how culture influences our lives and the lives of others across the world. Topics may include cultural influences on development, mental health, cognition, personality and social behavior.  "
PSYCB399,Independent Study in Psychology,"(Prereq: PSYC B101 and consent of instructor) Closely supervised project or research experience in psychology. Contract approval by instructor, advisor, Department Chair and Vice Chancellor for Academic Affairs is required. May be repeated for up to six credit hours. Not for psychology major credit."
PSYCB401,Cognitive Psychology,"(Prereq: PSYC B302) Research and theories on sensory memory, attention, short-term and working memory, human learning and forgetting, imagery, long-term memory, speech perception, reading, language, thinking and problem solving and decision making."
PSYCB404,Psychology Consumer Behavior,"(Prerequisite: PSYC B101) Psychological Principles and concepts applied to advertising and selling, promotion, consumer attitudes, psychological measurement and prediction, and influence in consumer behavior.  "
PSYCB409,Positive Psychology,"Research and theories on psychological well-being and happiness.  Topics include subjective well-being, positive affect and emotions, flow, resilience, correlates of happiness, self-regulation, virtues and character, interpersonal relationships, and mindfulness."
PSYCB411,Introduction to Clinical Psychology,(Prereq: PSYC B311 and B341 or consent of instructor) An introduction to the science and practice of clinical psychology. Application of psychological principles to the assessment and treatment of mental disorders and behavioral problems in human beings.
PSYCB415,Community Psychology,Application of knowledge from other areas of psychology to the study of the role of the individual in the community.
PSYCB418,Psychology of Drug Use and Effects,"(Prereq: consent of instructor) Research and theoretical considerations of substance abuse. Pharmacological, sociological, psychological, medical, economic, forensic and other relevant research and treatment disciplines."
PSYCB425,Psychology and the Legal System,"The role of psychologists in the legal system, psychological issues within the legal system, interpretations of victims and criminality, and treatment of offenders."
PSYCB441,Psychological Tests and Measurement,"(Prereq: STAT B201 and PSYC B201 or consent of instructor) Overview of the nature, design and application of psychological tests. Emphasis on test construction, the psychometric properties of psychological tests, intelligence and aptitude testing, objective and projective tests of personality and general issues in the application of tests."
PSYCB451,Sensation and Perception,"(Prereq: PSYC B101) Processing of information from the environment. Physiological, physical, psychological and contextual determinants of perception."
PSYCB465,Health Psychology,An introduction to the interdisciplinary subfield of psychology dedicated to promoting and maintaining health and preventing and treating illness.
PSYCB490,Selected Topics in Psychology,Course content varies and will be announced in the schedule of classes by suffix and title.
PSYCB494,Advanced Research Methods in Psychology,(Prerequisite: PSYC B200 and [PSYC B202 or STAT B201]) This course provides an integration of research methods and statistical methods. Students will design and complete a psychology research project.  
PSYCB495,Internship in Psychology,"(Prereq: Psychology Majors only, 15 hours of psychology, consent of instructor) Provides experience in a professional setting to facilitate integration of academic knowledge with real world.  Minimum requirement of 150 service hours."
