CourseID,CourseNumber,Title,MinCreditHours,MaxCreditHours,CourseDescription,GradeType,Course_type,SubjectID
908,B104,Personal Fitness & Weight Ctrl,1,NULL,Assessment of major fitness components and development of a personalized exercise program based on fundamental principles of exercise prescription. Weight management and dietary guidelines will be addressed.,Standard Letter,Studio / PE Course,52
909,B457,Personal Selling and Sales,3,NULL,(Prerequisite: MKTG B350) This course is a comprehensive survey of the basic process of personal selling and sales management applicable to all forms of business. The course is intended to provide the student with a basis for developing personal selling skills as well as understanding the fundamentals of sales management.,Standard Letter,Lecture,48
910,B341,Personality Theory,3,NULL,(Prerequisite: PSYC B101) Covers the major theories and research on personality and the dynamics of human motivation.,Standard Letter,Lecture,56
911,B378,Perspective in Public Sociolog,3,NULL,"(Prerequisite: SOCY B101 or consent of instructor) Introduces students to the ways sociologists contribute to issues on the public agenda through the interpretation and dissemination of sociological data and knowledge. Students will be introduced to practical and marketable skills for working as sociologists. Can include emphasis on the ways sociologists create tools, speak out, or write for a broad audience. May be repeated or taken simultaneously as topics vary. Variations will be announced in the schedule of classes by topic title.",Standard Letter,Lecture,59
912,B308,Persuasion & Social Influence,3,NULL,"An in-depth exploration of the art and science of persuasion and social influence. Topics of study include definitions and models of persuasion, individual communicator characteristics important in the complex process of persuasion, conformity and influence in groups, persuasive language and nonverbal cues, principles of rhetoric and rhetorical devices, compliance-gaining communication, motivational appeals, deception, and the ethical dimensions of persuasion and social influence.",Standard Letter,Lecture,11
913,B320,Pharmacologic Interventions,3,NULL,"(Prerequisite: NURS B310 or consent of instructor) Pharmacokinetics, pharmacodynamics and pharmacogenetics are studied from a drug classification typology. The nurse s role in verifying and validating drug prescriptions, calculating dosages, administering will build previous learning. Assisting patients with the management of side effects, drug discontinuation, and iatrogenic complications are studied. Current issues with poly-pharmaceuticals, addiction, and self-management with over-the-counter and herbal usage will be discussed from an evidence- and ethically-based practice perspective.",Standard Letter,Lecture,51
914,B313,Philosophy of Art,3,NULL,"Philosophical problems relating to the arts, with emphasis on questions pertaining to aesthetic experience.",Standard Letter,Lecture,53
915,B363,Philosophy of Film,3,NULL,"{ IDST B363} (Prerequisite: ENGL B101/B105 and ENGL B102/B106) Interdisciplinary course with emphasis on topical study of film theory, the aesthetics of film as an art form, the social impact and relevance of film.",Standard Letter,Lecture,53
916,B363,Philosophy of Film,3,NULL,"{ PHIL B363} (Prerequisite: ENGL B101/B105 and ENGL B102/B106) Interdisciplinary course with emphasis on topical study of film theory, the aesthetics of film as an art form, the social impact and relevance of film.",Standard Letter,Lecture,37
917,B212,Philosophy of Human Nature,3,NULL,This course investigates particular interpretations of human nature that have arisen within the history of ideas. Particular focus will be given to 1) analyzing the conflicting claims regarding human behavior that arise from such interpretations and 2) evaluating disagreements regarding the norms of conduct and social policy that develop from these different interpretations.,Standard Letter,Lecture,53
918,B315,Philosophy of Technology,3,NULL,"This course will focus on the various philosophical questions and issues that arise from the technological opportunities and challenges of the 21st century. Philosophical topics surrounding technology will include those related to ethics, the philosophy of language, feminism, critical theory, and pragmatism. Possible topics regarding technology may include information technologies, robotics, AI, genetic engineering, cyborgs, climate change/geoengineering/the Anthropocene, and social media technologies. Finally, we investigate how technological developments stimulate philosophical thinking.",Standard Letter,Lecture,53
919,B355,Physical Plant Design,3,NULL,"Design, equipment and maintenance of hospitality facilities.",Standard Letter,Lecture,36
920,B101L,Physics How Things Work I Lab,1,NULL,"(Prerequisite or Co-requisite: PHYS B101) Experiments, exercises and demonstrations to accompany PHYS 101.",Standard Letter,Lab / Clinical,54
921,B102L,Physics How Things Work II Lab,1,NULL,"(Prerequisite or Co-requisite: PHYS B102) Experiments, exercises and demonstrations to accompany PHYS B102.",Standard Letter,Lab / Clinical,54
922,B101,Physics of How Things Work I,3,NULL,A practical introduction to physics and science in everyday life  from concrete examples to basic physical principles.,Standard Letter,Lecture,54
923,B102,Physics of How Things Work II,3,NULL,"(Prerequisite: PHYS B101) A continuation of PHYS B101 with emphasis on electricity, magnetism, optics and atomic physics.",Standard Letter,Lecture,54
924,B441L,Pinciples of Biochemistry Lab,NULL,NULL,NULL,NULL,NULL,9
925,B200,Plant Science,3,NULL,"An introduction to plant science for the non-major. This course does not carry major credit and is not designed as a prerequisite for other biology courses. Plant development, physiology, genetics, evolution and ecology will be considered. Three lecture hours per week.",Standard Letter,Lecture,9
926,B200L,Plant Science Laboratory,1,NULL,"(Prerequisite or Co-requisite: BIOL B200) Laboratory exercises, demonstrations and audiovisual supplements to BIOL B200. Two hours per week. Not for major credit.",Standard Letter,Lab / Clinical,9
927,B322,Playwriting,3,NULL,"{  THEA B322} (Prerequisite: ENGL B101 or B105, and ENGL B102 or B106, each with a C or higher.) A workshop approach to playwriting that culminates in each student creating a production-ready one-act play. May be repeated with consent of instructor for a maximum of 6 credit hours.",Standard Letter,Lecture,26
928,B322,Playwriting,3,NULL,{  ENGL B322} (Prerequisite: Junior level or consent of instructor) A workshop approach to playwriting that culminates in each student creating a production-ready one-act play. May be repeated with consent of instructor for a maximum of 6 credit hours.,Standard Letter,Lecture,64
929,B430,Poetry,3,NULL,"(Prerequisite: ENGL B101 or B105 & B102 or B106, and one literature course at the 200-level or higher) Seminar that focuses on poetic genres and forms through a study of particular texts and writers, or networks of texts and writers.",Standard Letter,Lecture,26
930,B464,Poetry Workshop,3,NULL,May be repeated with consent of instructor for a maximum of 6 credit hours.,Standard Letter,Lecture,26
931,B409,Positive Psychology,3,NULL,"(Prerequisite: PSYC B101 and Junior or Senior standing) Research and theories on psychological well-being and happiness. Topics include subjective well-being, positive affect and emotions, flow, resilience, correlates of happiness, self-regulation, virtues and character, interpersonal relationships, and mindfulness.",Standard Letter,Lecture,56
932,B386,Postmodernism,3,NULL,"{ CPLT B386} Literature of Postmodernism in its cultural contexts, explored through representative works.",Standard Letter,Lecture,26
933,B386,Postmodernism,3,NULL,"{ ENGL B386} Literature of Postmodernism in its cultural contexts, explored through representative works.",Standard Letter,Lecture,12
934,B404,"Power, Discourse & Soc Identit",3,NULL,"(Prerequisite: Junior standing or instructor permission) This course examines notions of identity in public discourse. Students will be introduced to theories of discourse, identity, and power in public discourse (i.e. legal, mediated, policy, etc.) on current social issues.",Standard Letter,Lecture,11
935,B500,Practical Computing for Comp S,3,NULL,"(Prerequisite: Enrollment in CSCI M.S. program OR consent of instructor) Application of mathematical, science, and engineering problems to software engineering. Introduction to operating systems including UNIX/LINUX.",Standard Letter,Lecture,13
936,B290,Practicum,3,NULL,"Supervised full-time work experience in an area of the hospitality industry, selected by the student and approved by the practicum coordinator.",Standard Letter,Practicum,36
937,B440P,Practicum II,NULL,NULL,NULL,NULL,NULL,17
938,B440P,Practicum II,NULL,NULL,NULL,NULL,NULL,18
939,B450P,Practicum II: Teaching Readers,NULL,NULL,NULL,NULL,NULL,24
940,B640P,Practicum in Assessing & Teach,3,NULL,"(Prerequisite: Department Permission) Supervised clinical experience in literacy that is implemented within the classroom. Candidates will practice proficiency in planning, assessing, and teaching using various methods of reading and writing that serve the needs of English Language Learners. The main assessment for this course is a diagnostic reading case study.",Pass/Fail,Lecture,24
941,B640P,Practicum in Assessing & Teach,3,NULL,"(Prerequisite: Department Permission) Supervised clinical experience in literacy that is implemented within the classroom. Candidates will practice proficiency in planning, assessing, and teaching using various methods of reading and writing that serve the needs of English Language Learners. The main assessment for this course is a diagnostic reading case study.",Pass/Fail,Practicum,24
942,B430P,Practicum in Teaching Math Sec,3,NULL,(Co-requisite: EDME B430) Supervised clinical experience in a secondary mathematics setting. Observation and participation in a classroom setting is required.,Pass/Fail,Practicum,21
943,B440P,Practicum: Lessons in ECE,3,NULL,"(Prerequisite: Admission to the Professional Program or consent of the Department Chair; Co-requisite EDEC B435, EDEC B436, and EDEC B444). Supervised clinical experience in an early childhood setting. Teacher candidates will apply principles of planning, instruction, assessment, management, and professionalism in diverse field-based settings serving students in grades P-3. Offered in Fall.",Pass/Fail,Practicum,17
944,B115,Precalculus Mathematics,4,NULL,"(Prerequisite: Qualification through placement or a grade of  C  or better in B111) Topics in algebra and trigonometry specifically needed for MATH 141, 142, 240. Polynomial, rational, inverse, logarithmic, exponential functions; circular functions; analytic trigonometry. Offered every semester.",Standard Letter,Lecture,44
945,B115,Precalculus Mathematics,NULL,NULL,NULL,NULL,NULL,45
946,B150,Pre-Nurs Student in the Univ,1,NULL,"University 150 is designed to help first-year pre-nursing students understand and adjust to the demands of the nursing major, acquire essential academic success skills to be successful, and better understand the nursing field as well as adjacent vocations.",Standard Letter,Lecture,65
947,B101,"Primates, People and Prehist",3,NULL,"An exploration of human origins, human evolution, human prehistory and cultural existence from its less complex forms to early civilizations. An introduction to the concepts, methods and data of physical, biological and archaeological anthropology. May be taken with, or independently of, ANTH B102. Satisfies 3-credit hour course requirement for Natural Science GE.",Standard Letter,Lecture,3
948,B311,Princ Food Service Sanitation,1,NULL,(Co-requisite: B312 and B270 - all three must be taken together).Business and regulatory practices relevant to a sanitary food service environment.,Standard Letter,Lecture,36
949,B265,Princ Hospitality Retail Mgmt,3,NULL,"Management methods, location analysis, store organization, personnel, planning, buying and pricing techniques and customer service policies for retail firms; including retail outlets in hotels, restaurants, private clubs and recreation facilitates catering to golf and tennis.",Standard Letter,Lecture,36
950,B442,Princ Modern Literary Theory,3,NULL,"Major 20th-century approaches to texts, from New Criticism to the present.",Standard Letter,Lecture,26
951,B371,Principle Mgmt and Leadership,3,NULL,(Prerequisite: Junior standing) A comprehensive survey of the basic principles of management and leadership applicable to all forms of business. The course provides the student with a basis for thinking about complex business situations in the framework of analysis of the management and leadership process.,Standard Letter,Lecture,46
952,B272,Principles Food Cost Controls,1,NULL,Management of food cost controls in the food service industry.,Standard Letter,Lecture,36
953,B319,Principles of Archaeology,3,NULL,"An introduction to the principles, methods, and theory of archaeology, including prehistoric and historic case studies.",Standard Letter,Lecture,3
954,B441,Principles of Biochemistry,3,NULL,{ CHEM B450} (Prerequisite: CHEM B333) A survey of fundamentals of biochemistry.,Standard Letter,Lecture,9
955,B450,Principles of Biochemistry,3,NULL,{ BIOL 441} (Prerequisite: CHEM B333) A survey of fundamentals of biochemistry.,Standard Letter,Lecture,10
956,B450L,Principles of Biochemistry Lab,1,NULL,{ BIOL B441L} (Prerequisite or Co-requisite: CHEM B450) Three laboratory hours per week.,Standard Letter,Lab / Clinical,10
957,B441L,Principles of Biochemistry Lab,1,NULL,{ CHEM B450L} (Prerequisite or Co-requisite: BIOL B441) Three laboratory hours per week.,Standard Letter,Lab / Clinical,9
958,B601,Principles of Computer Securit,3,NULL,"Prerequisite: CSCI B201 [or demonstrated equivalent knowledge/experience] or consent of instructor) Principles and practices of computer system security including operating system security, network security, software security and web security.",Standard Letter,Lecture,13
959,B330,Principles of Epidemiology,NULL,NULL,NULL,NULL,NULL,35
960,B330,Principles of Epidemiology,3,NULL,"(Prerequisite: PUBH B310) The study of the patterns, causes, and effects of health and disease.",Standard Letter,Lecture,57
961,B303,Principles of Gerontology,3,NULL,"( HMSV B303 & PSYC B303) An exploration of the interdisciplinary field of gerontology, including the fundamental concepts, theories, and issues involved in the study of aging from diverse perspectives.",Standard Letter,Lecture,59
962,B303,Principles of Gerontology,3,NULL,"( HMSV B303 & SOCY B303) An exploration of the interdisciplinary field of gerontology, including the fundamental concepts, theories, and issues involved in the study of aging from diverse perspectives.",Standard Letter,Lecture,56
963,B303,Principles of Gerontology,3,NULL,"( PSYC B303 & SOCY B303) An exploration of the interdisciplinary field of gerontology, including the fundamental concepts, theories, and issues involved in the study of aging from diverse perspectives.",Standard Letter,Lecture,34
964,B350,Principles of Marketing,3,NULL,"(Prerequisites: ECON B221) Principles and concepts underlying marketing functions, including the conception, pricing, promotion and distribution of products and services and the role of marketing in society.",Standard Letter,Lecture,48
965,B215,Printmaking I,3,NULL,"(Prerequisite: ARTS B102, B103, B104, and B111) An introductory course in printmaking with emphasis on relief processes.",Standard Letter,Lecture,6
966,B215,Printmaking I,3,NULL,"(Prerequisite: ARTS B102, B103, B104, and B111) An introductory course in printmaking with emphasis on relief processes.",Standard Letter,Studio / PE Course,6
967,B315,Printmaking II,3,NULL,"(Prerequisite: ARTS B102, B103, B104, B111, and B215) Relief and intaglio techniques including the execution of original works in these media.",Standard Letter,Lecture,6
968,B315,Printmaking II,3,NULL,"(Prerequisite: ARTS B102, B103, B104, B111, and B215) Relief and intaglio techniques including the execution of original works in these media.",Standard Letter,Studio / PE Course,6
969,B316,Printmaking III,3,NULL,"(Prerequisite: ARTS B102, B103, B104, B111, and B315) Intaglio and lithography techniques including the execution of original works in these media.",Standard Letter,Lecture,6
970,B316,Printmaking III,3,NULL,"(Prerequisite: ARTS B102, B103, B104, B111, and B315) Intaglio and lithography techniques including the execution of original works in these media.",Standard Letter,Studio / PE Course,6
971,B475,Production/Operations Mgmt,NULL,NULL,NULL,NULL,NULL,46
972,B245,Prof Dev Hospitality Mgmt,3,NULL,Course focuses on preparing students for successful job searches and thriving in entry-level management positions in the hospitality industry.,Standard Letter,Lecture,36
973,B410,Prof Nurs Leadership and Mgmt,NULL,NULL,NULL,NULL,NULL,51
974,B410,Professional Nurs Leadership,NULL,NULL,NULL,NULL,NULL,51
975,B435,Professional Nursing Seminar,NULL,NULL,NULL,NULL,NULL,51
976,B266,Professional Writing PRacticum,1,NULL,"(Prerequisite: ENGL B101 or B105, and ENGL B102 or B106, each with a C or higher.) A practicum in professional writing, allowing students to complete projects that employ skills in visual rhetoric, writing, editing, proofreading, and/or research in an on-campus workplace setting. (May be repeated for up to 2 credits)",Standard Letter,Lecture,26
977,B460,Professional Writing Workshop,3,NULL,"(Prerequisite: ENGL B101 or B105 & B102 or B106, each with a grade of C or higher.) Upper-division writing workshop course, focusing on the study and practice of professional writing. Course may be taken twice for credit.",Standard Letter,Lecture,26
978,B490,Professionalization in English,3,NULL,"(Prerequisite: Senior standing in English or department approval) A professional development course connecting the knowledge, skills, and experiences of the English major to advanced exploration of and active preparation for opportunities after graduation.",Standard Letter,Lecture,26
979,B322,Psyc of Child Development,3,NULL,(Prerequisite: PSYC B101) Examination of development from conception through older childhood. Specific cognitive and social processes will be given in-depth study.,Standard Letter,Lecture,56
980,B418,Psyc of Drug Use and Effects,3,NULL,"(Prerequisite: PSYC B101) Overview of the physiology and psychological effects of psychoactive substances and of addictions.  Historical, societal, legal, medical, and economic factors on psychoactive substance use and abuse will be explored.",Standard Letter,Lecture,56
981,B425,Psych and the Legal System,3,NULL,"(Prerequisite: PSYC B101) The role of psychologists in the legal system, psychological issues within the legal system, interpretations of victims and criminality, and treatment of offenders.",Standard Letter,Lecture,56
982,B404,Psych Consumer Behavior,3,NULL,"(Prerequisite: PSYC B101) Psychological Principles and concepts applied to advertising and selling, promotion, consumer attitudes, psychological measurement and prediction, and influence in consumer behavior.",Standard Letter,Lecture,56
983,B202,Psychological Statistics,3,NULL,Introduction to statistical methods for psychology research.,Standard Letter,Lecture,56
984,B462,Psychology in Film,3,NULL,(Prerequisite: PSYC B101) Application of knowledge from various areas of psychology to the study of film and portrayal of psychological concepts in film.,Standard Letter,Lecture,56
985,B210,Psychology of Adjustment,3,NULL,"Introduction to theories and processes underlying and facilitating human adjustment in the community, family and workplace.",Standard Letter,Lecture,56
986,B328,Psychology of Aging,3,NULL,"(Prerequisite: PSYC B101) Psychological, social and biological phenomena associated with maturity and aging.",Standard Letter,Lecture,56
987,B216,Psychology of Marriage,3,NULL,"The psychological, physiological and social characteristics of marriage.",Standard Letter,Lecture,56
988,B220,Psychology of Religion,3,NULL,"The development of the religious consciousness and its various expressions, the psychological dynamics of growth and conversion, response to crisis and the relation of spiritual practice to health and wholeness.",Standard Letter,Lecture,56
989,B218,Psychology of Women,3,NULL,"Women's experiences: childhood and adolescence, work, family, cultural images, adjustment and social change.",Standard Letter,Lecture,56
990,B441,Psycl Tests and Measurement,3,NULL,"(Prerequisite: STAT B201 or consent of instructor) Overview of the nature, design and application of psychological tests. Emphasis on test construction, the psychometric properties of psychological tests, intelligence and aptitude testing, objective and projective tests of personality and general issues in the application of tests.",Standard Letter,Lecture,56
991,B140,Public Communication,3,NULL,"Public speaking and the principles and criticism of oral public communication, to include performance by students.",Standard Letter,Lecture,11
992,B432,Public Health Nutrition Policy,3,NULL,"(Prerequisite: PUBH/HRTM B242) Impact of nutrition policy on the public s health is reviewed.  This course examines the complex, multifaceted range of programs and services dedicated to bettering the population s health through nutrition. Considers policymaking, assessment and intervention methods, special populations and food security.",Standard Letter,Lecture,57
993,B450,Public Health Program Devel,3,NULL,"(Prerequisite: PUBH B310) A study of methods used to develop effective public health and education programs which help enable individuals prevent, delay and treat disease.",Standard Letter,Lecture,57
994,B460,Public Health Program Evalu,3,NULL,(Prerequisite: PUBH B450) A study of evaluation methods used to assess the potential impacts of public health programs.,Standard Letter,Lecture,57
995,B399,Public History Internship II,NULL,NULL,NULL,NULL,NULL,33
996,B401,Public Relations Campaigns,3,NULL,"(Prerequisite: COMM B328) An experiential-based seminar on the planning, development, and execution of a comprehensive public relations campaign for organizational or non-profit entities.",Standard Letter,Lecture,11
997,B228,Purchasing and Controls,3,NULL,"A study of the major foods, beverages and supplies that are purchased in hotels, motels and food-service establishments as well as techniques on how to control their distribution within the operation.",Standard Letter,Lecture,36
998,B330,Quality Eval & Mmgt in Hosp,3,NULL,"Course focuses on introducing students to advanced service management concepts including the development of service standards, service quality evaluation and quality management in a hospitality setting. May be repeated once for up to 6 credits.",Standard Letter,Lecture,36
999,B321,Quantitative Analysis,3,NULL,"(Prerequisite: CHEM B112; Co-requisite: CHEM B321L) Gravimetric, volumetric and introductory instrumental analysis. Three lecture and one recitation hours per week.",Standard Letter,Lecture,10
1000,B321L,Quantitative Analysis Lab,1,NULL,(Co-requisite: CHEM B321) Three laboratory hours per week.,Standard Letter,Lab / Clinical,10
1001,B270,Quantity Food Production,4,NULL,"(Co-requisite HRTM B311 and B312   all three must be taken together) The basics of food production from storeroom to consumer. Various techniques of storage, preparation, merchandising and menu-planning, as well as the many aspects of service.",Standard Letter,Lecture,36
1002,B101,RAD Self-Defense for Women,1,NULL,"(Prerequisite: Instructor Permission) An introduction to the principles, techniques, and active practice of self-defense for women.",Standard Letter,Lecture,52
1003,B101,RAD Self-Defense for Women,1,NULL,"(Prerequisite: Instructor Permission) An introduction to the principles, techniques, and active practice of self-defense for women.",Standard Letter,Studio / PE Course,52
1004,B310,Rding Performing ShakeSpeare,3,NULL,"(Prerequisite: ENGL B101 or B105, and ENGL B102 or B106, each with a C or higher.) A course about how people read and perform Shakespeare in which students read and perform Shakespeare.",Standard Letter,Lecture,26
1005,B310,Rding Performing Shakespeare,3,NULL,"(Prerequisite: ENGL B101 or B105, and ENGL B102 or B106, each with a C or higher). A course about how people read and perform Shakespeare in which students read and perform Shakespeare.",Standard Letter,Lecture,64
1006,B201,Reading and Written Expression,NULL,NULL,NULL,NULL,NULL,60
1007,B201,Reading and Written Expression,3,NULL,"(Prerequisite: FREN B102 or by placement) Readings in French; grammar, writing, speaking, listening, and composition at the intermediate level.",Standard Letter,Lecture,29
1008,B497,Reading for Senior Thesis,1,NULL,(Prerequisite: Junior standing with GPA of 3.0 within Mathematics major and departmental approval.) Directed reading in preparation for senior thesis in literature.,Pass/Fail,Lecture,45
1009,B497,Reading for Senior Thesis,3,NULL,"(Prerequisite: Junior standing, and approval of the instructor.) Directed reading in preparation for senior thesis in literature.",Standard Letter,Lecture,26
1010,B397,Readings in Philosophy,NULL,NULL,NULL,NULL,NULL,41
1011,B397,Readings in Philosophy,3,6,{ IDST B397} (Prerequisite: Junior standing and completion of General Education English and Humanities requirements) A systematic study of a primary source in philosophy having relevance to other disciplines. Can be conducted as a small course or as a tutorial. May be taken twice for credit.,Standard Letter,Lecture,53
1012,B397,Readings in Philosophy,3,NULL,( PHIL B397) (Prerequisite: Junior standing and completion of General Education English and Humanities requirements) A systematic study of a primary source in philosophy having relevance to other disciplines. Can be conducted as a small course or as a tutorial. May be taken twice for credit.,Standard Letter,Lecture,37
1013,B384,Realism,3,NULL,"{ ENGL B384} Literature of Realism in its cultural contexts, explored through representative works.",Standard Letter,Lecture,12
1014,B114,Religion and Culture,3,NULL,"The impact of religion on modern Western culture and of culture on religion. Selected topics: Holocaust, Freud, love, evil, puritanism, fundamentalism.",Standard Letter,Lecture,58
1015,B380,Research Methods in Health Pro,NULL,NULL,NULL,NULL,NULL,35
1016,B200,Research Methods in Psychology,3,NULL,(Prerequisite: PSYC B101) Basic principles and methodology.,Standard Letter,Lecture,56
1017,B380,Research Methods Public Health,3,NULL,"(Prerequisite: STAT B201 and PUBH B310) A course designed to impart knowledge and skills regarding the design, implementation, analysis and interpretation of research in the field of public health.",Standard Letter,Lecture,57
1018,B797,Research Project,3,6,"Research in Computational Science. Repeatable as needed, with approval from the Computer Science department chair.",Pass/Fail,Lecture,13
1019,B797,Research Project,3,6,"Research in Computational Science. Repeatable as needed, with approval from the Computer Science department chair.",Pass/Fail,Thesis,13
1020,B498,Research Seminar,3,NULL,"(Prerequisite: SOCY B496 and B497; Senior standing and consent of instructor) Utilization of theoretical, methodological and substantive knowledge in design and execution of a sociological study.",Standard Letter,Lecture,59
1021,B243,Resources in Teaching,3,NULL,"(Prerequisite or Co-requisite: EDCI B100) Introduction to technological resources relevant to the teaching profession including computer technology, educational software, and telecommunications. This course focuses on examining how applying technology in the classroom can be used to support teaching and learning and addresses the methods and materials used for technology integration.",Standard Letter,Lecture,16
1022,B370,Restaurant Food Production Mgt,3,NULL,Management techniques and operating problems in food service operations.,Standard Letter,Lecture,36
1023,B301,Role Dev in Nursing,NULL,NULL,NULL,NULL,NULL,51
1024,B453,Sales Management,3,NULL,"(Prerequisite: MKTG B350) This course is intended to provide the student with an understanding of the fundamentals of sales management including the recruitment, training, motivation, compensation and evaluation of a sales force.",Standard Letter,Lecture,48
1025,B436,Science and Soc Studies ECE,3,NULL,"(Prerequisite: EDCI B100; Admission to Professional Program in Education or consent of the Department Chair; Co-requisites: EDEC B435, EDEC B444, EDEC B440P). This methods course includes the basic content in the inquiry areas of science and social studies to be presented to PreK - 3rd grade children. Developmentally appropriate inquiry experiences, learning activities, materials and equipment are presented. Diversity-related influences and needs of exceptional learners are also addressed.",Standard Letter,Lecture,17
1026,B350,Science of Evidence-Based Prac,3,NULL,"(Prerequisite: STAT B201 and NURS B202 or RN Licensure or consent of Instructor) The science of nursing is presented exploring how research builds the nursing profession. The research process, from question to study design and analysis, and onto field-based implementation is contrasted. Students are exposed to multiple studies sufficient to inform evidence-based practice and discern good from bad science. Discussion of institutional databases available to inform quality improvement and organizational policy is explained. Ethical concerns and the mitigation of research risks are considered.",Standard Letter,Lecture,51
1027,B403,Sctions and Nation 1828-1860,3,NULL,"The three cultures of East, South and West; their interactions and the events leading to the Civil War.",Standard Letter,Lecture,33
1028,B225,Sculpture I,3,NULL,"(Prerequisite: ARTS B102, B103, B104, and B111) An introduction to concepts, materials and techniques related to sculpture.",Standard Letter,Lecture,6
1029,B225,Sculpture I,3,NULL,"(Prerequisite: ARTS B102, B103, B104, and B111) An introduction to concepts, materials and techniques related to sculpture.",Standard Letter,Studio / PE Course,6
1030,B325,Sculpture II,3,NULL,"(Prerequisite: ARTS B102, B103, B104, B111, and B225) A further study of various three-dimensional medias incorporating emerging technologies and advanced practices in sculpture.",Standard Letter,Lecture,6
1031,B325,Sculpture II,3,NULL,"(Prerequisite: ARTS B102, B103, B104, B111, and B225) A further study of various three-dimensional medias incorporating emerging technologies and advanced practices in sculpture.",Standard Letter,Studio / PE Course,6
1032,B326,Sculpture III,3,NULL,"(Prerequisite: ARTS B102, B103, B104, B111, and B325) A further study of various three-dimensional medias incorporating emerging technologies and advanced practices in sculpture.",Standard Letter,Lecture,6
1033,B326,Sculpture III,3,NULL,"(Prerequisite: ARTS B102, B103, B104, B111, and B325) A further study of various three-dimensional medias incorporating emerging technologies and advanced practices in sculpture.",Standard Letter,Studio / PE Course,6
1034,B483,Secondary ELA Internship,12,NULL,"(Prerequisite: Admission to professional program in education, or approval by department chair; 100 hours of previous field experience; Corequisite: ENGL B482) Supervised clinical experience in a secondary ELA setting. Observation and participation in a classroom setting is required.",Pass/Fail,Internship / Cooperative,26
1035,B480,Secondary ELA Methods,3,NULL,"(Prerequisite: Admission to professional program in education; Corequisite: ENGL B481) This course will provide an introduction to and examination of practices for ELA instruction and will encompass issues of pedagogy, lesson planning, development of instructional materials, classroom management, diversity, access, and equity.",Standard Letter,Lecture,26
1036,B481,Secondary ELA Practicum,4,NULL,(Prerequisite: Admission to professional program in education or approval by department chair; Corequisite: ENGL B480) Supervised clinical experience in a secondary ELA setting. Observation and participation in a classroom setting is required.,Pass/Fail,Lecture,26
1037,B481,Secondary ELA Practicum,4,NULL,(Prerequisite: Admission to professional program in education or approval by department chair; Corequisite: ENGL B480) Supervised clinical experience in a secondary ELA setting. Observation and participation in a classroom setting is required.,Pass/Fail,Practicum,26
1038,B482,Secondary ELA Seminar,3,NULL,(Prerequisite: Admission to professional program in education or approval by department chair; Corequisite: ENGL B483) This course will provide both theoretical discussions of ELA pedagogy and support to students as they complete their internship.,Standard Letter,Lecture,26
1039,B439,Selected Topics,3,NULL,"Intensive study of selected themes, topics, currents of thought or interdisciplinary concerns. May be repeated for credit under a different topic title.",Standard Letter,Lecture,26
1040,B439,Selected Topics,3,NULL,(Prerequisite: ENGL B102 or B106 with a grade of  C  or higher) Intensive interdisciplinary study of selected themes or topics as defined by title. May be repeated for credit under a different topic title.,Standard Letter,Lecture,37
1041,B398,Selected Topics,3,NULL,"(Prerequisite: Placement at 300 level on Phase II placement exam, grade of  C  or better in SPAN B202, or consent of instructor. Department consent required for transfer students.) Intensive study of selected topics of the Hispanic world. May be repeated for credit under different topic title. Taught in English.",Standard Letter,Lecture,60
1042,B490,Selected Topics Anthropology,3,NULL,Course content in research and methods varies and will be announced in the schedule of classes by subtitle. Open to juniors and seniors.,Standard Letter,Lecture,3
1043,B409,Selected Topics in Computing,1,3,(Prerequisite: Permission of Instructor) Intensive study of a particular topic or topics in computing. Course content varies and will be announced in the schedule of classes by topic title. May be repeated for credit under a different topic title.,Standard Letter,Lecture,13
1044,B599,Selected Topics in Education,1,3,(Prerequisite: Permission of Instructor) Introduction to topics in education. Course content varies and will be determined by instructor.,Standard Letter,Lecture,16
1045,B400,Selected Topics in Education,3,NULL,"Intensive study of selected topics, themes, and/or interdisciplinary concerns in education. Course and content varies and will be announced in the schedule of classes by topic title. Topics may include: Gifted Education; Teaching English Language Learners; Play, Music and Movement in Early Childhood Education; Classroom Management, Assessment & Approaches in Differentiating Instruction, etc. May be repeated under different topics.",Standard Letter,Lecture,16
1046,B498,Selected Topics in Human Srvs,1,3,"(Prerequisite: Consent of Instructor) Advanced readings and research on selected topics in human services. Course and content varies and will be announced in the schedule of classes by subject title. Topics may include: grant writing and fund development, community development, new clinical developments, grassroots community organizing, working in faith-based communities, emergency management and disaster relief, working with special populations, etc. May be repeated under different topics.",Standard Letter,Lecture,34
1047,B490,Selected Topics in Psychology,3,NULL,Course content varies and will be announced in the schedule of classes by topic title. May be repeated under different topics.,Standard Letter,Lecture,56
1048,B497,Seminar IDST Among Discipline,3,NULL,Prerequisite: Senior standing in Interdisciplinary Studies or consent of the instructor.,Standard Letter,Lecture,37
1049,B497,Seminar in LS Among Discipline,NULL,NULL,NULL,NULL,NULL,41
1050,B485,Senior Exhibition,3,NULL,"(Prerequisite: ARTS B102, B103, B104, and B111) A capstone course that focuses on a group exhibition that includes: artist biography, resume, and statement with an online portfolio documenting the exhibition and other support materials. All Art Majors are required to register for the Senior Exhibition in their senior year.",Standard Letter,Lecture,6
